"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1393","shows an error notification when the server returns 500","chromium","2026-03-16","passed","2026-03-16","Contact Form – Network Error (Mocked 500)","contact-form.spec.ts","",""
"","4501","submits the form successfully and shows a success message","firefox","2026-03-16","passed","2026-03-16","Contact Form – Happy Path","contact-form.spec.ts","",""
"","6121","submits the form successfully and shows a success message","chromium","2026-03-16","passed","2026-03-16","Contact Form – Happy Path","contact-form.spec.ts","",""
"","1357","shows an error notification when the server returns 500","firefox","2026-03-16","passed","2026-03-16","Contact Form – Network Error (Mocked 500)","contact-form.spec.ts","",""
